# SignalP-5.0	Organism: Gram-negative	Timestamp: 20230503170357
# ID	Prediction	SP(Sec/SPI)	TAT(Tat/SPI)	LIPO(Sec/SPII)	OTHER	CS Position
megahit_248053_1419-2468	OTHER	0.091676	0.001410	0.007218	0.899696	
megahit_248053_2536-2970	OTHER	0.037512	0.001800	0.009904	0.950783	
megahit_248053_2979-3749	OTHER	0.002154	0.003375	0.000192	0.994279	
megahit_248054_118-465	OTHER	0.037512	0.001800	0.009904	0.950783	
megahit_248054_474-1244	OTHER	0.002154	0.003375	0.000192	0.994279	
megahit_248055_65-874	OTHER	0.002154	0.003375	0.000192	0.994279	
megahit_248056_3-281	OTHER	0.008721	0.011418	0.005905	0.973956	
megahit_248058_25-519	OTHER	0.001394	0.001339	0.000193	0.997074	
megahit_248065_26-1060	SP(Sec/SPI)	0.993450	0.000293	0.005534	0.000723	CS pos: 24-25. TLA-DP. Pr: 0.9702
megahit_248065_1354-2457	OTHER	0.186042	0.018095	0.022336	0.773527	
megahit_248066_26-1060	SP(Sec/SPI)	0.993450	0.000293	0.005534	0.000723	CS pos: 24-25. TLA-DP. Pr: 0.9702
megahit_248066_1224-2327	OTHER	0.186042	0.018095	0.022336	0.773527	
megahit_248069_18-1358	OTHER	0.005804	0.002225	0.001190	0.990781	
megahit_248106_189-335	OTHER	0.025465	0.008323	0.005088	0.961125	
megahit_248107_189-317	OTHER	0.029326	0.010017	0.006532	0.954125	
megahit_248108_1-147	OTHER	0.025465	0.008323	0.005088	0.961125	
megahit_248194_107-1336	OTHER	0.007229	0.004738	0.000459	0.987574	
megahit_248196_61-516	OTHER	0.004171	0.001004	0.000521	0.994303	
megahit_248231_221-2227	OTHER	0.005465	0.001313	0.001623	0.991600	
megahit_248232_221-2227	OTHER	0.005465	0.001313	0.001623	0.991600	
megahit_248237_2880-4166	OTHER	0.009466	0.008758	0.002785	0.978991	
megahit_248237_4234-4773	OTHER	0.011056	0.004535	0.002533	0.981877	
megahit_248237_4792-5877	OTHER	0.185910	0.013989	0.009299	0.790802	
megahit_248237_5883-6656	OTHER	0.127357	0.001832	0.022670	0.848142	
megahit_248237_6768-7730	OTHER	0.005960	0.000257	0.002163	0.991620	
megahit_248237_7800-9095	OTHER	0.005232	0.002154	0.001607	0.991006	
megahit_248237_9118-9951	OTHER	0.001563	0.000117	0.000616	0.997704	
megahit_248237_10107-11501	OTHER	0.030158	0.000520	0.006502	0.962819	
megahit_248237_12910-15996	SP(Sec/SPI)	0.843775	0.005372	0.139566	0.011287	CS pos: 40-41. TDA-AQ. Pr: 0.7921
megahit_248239_3021-3638	OTHER	0.015074	0.007117	0.001737	0.976072	
megahit_248240_103-1179	OTHER	0.374181	0.002960	0.036621	0.586237	
megahit_248240_1290-4376	SP(Sec/SPI)	0.843775	0.005372	0.139566	0.011287	CS pos: 40-41. TDA-AQ. Pr: 0.7921
megahit_248241_2880-4166	OTHER	0.009466	0.008758	0.002785	0.978991	
megahit_248241_4234-4773	OTHER	0.011056	0.004535	0.002533	0.981877	
megahit_248241_4792-5877	OTHER	0.185910	0.013989	0.009299	0.790802	
megahit_248241_5883-6656	OTHER	0.127357	0.001832	0.022670	0.848142	
megahit_248241_6768-7730	OTHER	0.005960	0.000257	0.002163	0.991620	
megahit_248241_7800-9095	OTHER	0.005232	0.002154	0.001607	0.991006	
megahit_248241_9118-9951	OTHER	0.001563	0.000117	0.000616	0.997704	
megahit_248241_10107-11501	OTHER	0.030158	0.000520	0.006502	0.962819	
megahit_248241_12910-15990	SP(Sec/SPI)	0.843775	0.005372	0.139566	0.011287	CS pos: 40-41. TDA-AQ. Pr: 0.7921
megahit_248258_18-200	OTHER	0.010842	0.005182	0.001855	0.982121	
megahit_248277_74-238	OTHER	0.040864	0.027937	0.012703	0.918496	
megahit_248320_68-1993	OTHER	0.011094	0.009390	0.000324	0.979192	
megahit_248367_2-988	OTHER	0.008271	0.000944	0.001741	0.989044	
megahit_248367_1005-2105	OTHER	0.002200	0.003117	0.000518	0.994165	
megahit_248384_3-1043	OTHER	0.047550	0.016219	0.012677	0.923554	
megahit_248384_1530-2465	OTHER	0.012062	0.009064	0.000640	0.978233	
megahit_248385_3-1043	OTHER	0.047550	0.016219	0.012677	0.923554	
megahit_248385_1530-2465	OTHER	0.012062	0.009064	0.000640	0.978233	
megahit_248386_658-1593	OTHER	0.011867	0.013182	0.000579	0.974373	
megahit_248387_3-938	OTHER	0.012062	0.009064	0.000640	0.978233	
megahit_248387_1425-2465	OTHER	0.047550	0.016219	0.012677	0.923554	
megahit_248388_3-938	OTHER	0.012062	0.009064	0.000640	0.978233	
megahit_248388_1425-2465	OTHER	0.047550	0.016219	0.012677	0.923554	
megahit_248389_631-1671	OTHER	0.047550	0.016219	0.012677	0.923554	
megahit_248486_1-744	OTHER	0.321513	0.122090	0.104913	0.451484	
megahit_248487_1-1425	OTHER	0.321513	0.122090	0.104913	0.451484	
megahit_248556_1-792	OTHER	0.003701	0.006488	0.000586	0.989224	
megahit_248562_123-650	OTHER	0.008304	0.000522	0.001222	0.989952	
megahit_248579_2-379	OTHER	0.057391	0.011314	0.004100	0.927195	
megahit_248697_2-910	OTHER	0.006646	0.004037	0.001226	0.988091	
megahit_248807_1-441	OTHER	0.012691	0.033689	0.006807	0.946813	
megahit_248868_25-3150	OTHER	0.008824	0.000306	0.016161	0.974709	
megahit_248869_234-1415	OTHER	0.007249	0.000532	0.000635	0.991585	
megahit_248869_1693-5454	OTHER	0.008824	0.000306	0.016161	0.974709	
megahit_248914_2-979	OTHER	0.014397	0.002497	0.007539	0.975567	
megahit_248947_31-2070	OTHER	0.133876	0.007356	0.010780	0.847988	
megahit_248948_31-2103	SP(Sec/SPI)	0.967182	0.000652	0.028946	0.003221	CS pos: 20-21. AFA-QL. Pr: 0.9115
megahit_248948_2112-3428	SP(Sec/SPI)	0.995222	0.000130	0.003944	0.000704	CS pos: 19-20. VQA-QT. Pr: 0.9868
megahit_248961_17-1249	SP(Sec/SPI)	0.987537	0.000559	0.010346	0.001558	CS pos: 22-23. SAA-QG. Pr: 0.6923
megahit_248961_1252-1935	OTHER	0.004945	0.001584	0.000357	0.993114	
megahit_248961_1940-2830	OTHER	0.010263	0.004960	0.002392	0.982385	
megahit_248966_3-482	OTHER	0.004019	0.021315	0.000237	0.974429	
megahit_248983_219-959	TAT(Tat/SPI)	0.007942	0.515209	0.001340	0.475509	CS pos: 37-38. AHG-AT. Pr: 0.1853
megahit_248984_738-1421	OTHER	0.003594	0.001793	0.000216	0.994397	
megahit_248984_1439-2179	TAT(Tat/SPI)	0.007942	0.515209	0.001340	0.475509	CS pos: 37-38. AHG-AT. Pr: 0.1853
megahit_248989_119-406	OTHER	0.013114	0.007103	0.005242	0.974540	
megahit_248996_35-292	OTHER	0.021824	0.002510	0.005097	0.970568	
megahit_248997_2024-2944	OTHER	0.003575	0.007462	0.000220	0.988743	
megahit_249000_413-1459	OTHER	0.003259	0.000622	0.000781	0.995338	
megahit_249001_413-1459	OTHER	0.003259	0.000622	0.000781	0.995338	
megahit_249005_9-482	SP(Sec/SPI)	0.934373	0.000171	0.062344	0.003112	CS pos: 21-22. AQG-TV. Pr: 0.4916
megahit_249005_530-1147	SP(Sec/SPI)	0.991075	0.000389	0.007970	0.000566	CS pos: 22-23. TVA-QD. Pr: 0.8170
megahit_249028_2872-3984	OTHER	0.171308	0.015528	0.010590	0.802574	
megahit_249110_397-2274	OTHER	0.026298	0.000433	0.067339	0.905930	
megahit_249118_3-1721	OTHER	0.017815	0.001779	0.002788	0.977619	
megahit_249119_3-1646	OTHER	0.017815	0.001779	0.002788	0.977619	
megahit_249173_3-1334	SP(Sec/SPI)	0.558827	0.052665	0.078754	0.309755	CS pos: 18-19. AVA-GT. Pr: 0.1666
megahit_249302_3-1334	OTHER	0.006881	0.004767	0.000812	0.987540	
megahit_249304_3-1013	OTHER	0.356208	0.119108	0.014385	0.510299	
megahit_249334_3-632	OTHER	0.003244	0.000353	0.000451	0.995952	
megahit_249384_1108-1932	OTHER	0.012925	0.000414	0.003681	0.982981	
megahit_249385_1173-1997	OTHER	0.011240	0.000398	0.003579	0.984783	
megahit_249388_1108-1932	OTHER	0.012024	0.000378	0.003315	0.984283	
megahit_249393_3-479	OTHER	0.028157	0.017562	0.013921	0.940359	
megahit_249440_589-1485	LIPO(Sec/SPII)	0.078054	0.220204	0.484423	0.217319	CS pos: 33-34. VAG-CS. Pr: 0.4785
megahit_249454_727-1095	OTHER	0.001342	0.000566	0.006351	0.991741	
megahit_249454_1089-1463	OTHER	0.002524	0.000476	0.000942	0.996058	
megahit_249489_737-1684	OTHER	0.046012	0.094288	0.024463	0.835237	
megahit_249490_735-1682	OTHER	0.046012	0.094288	0.024463	0.835237	
megahit_249500_2-1393	OTHER	0.011571	0.003320	0.001003	0.984106	
megahit_249538_366-1664	OTHER	0.007241	0.002973	0.001394	0.988392	
megahit_249661_2-1531	OTHER	0.266032	0.061029	0.022771	0.650168	
megahit_249664_1-732	OTHER	0.266032	0.061029	0.022771	0.650168	
megahit_249675_23-1567	OTHER	0.045635	0.012495	0.050748	0.891121	
megahit_249676_830-2551	OTHER	0.045635	0.012495	0.050748	0.891121	
megahit_249698_1545-2420	OTHER	0.008926	0.012467	0.001278	0.977328	
megahit_249700_307-1182	OTHER	0.008926	0.012467	0.001278	0.977328	
megahit_249701_1545-2420	OTHER	0.008926	0.012467	0.001278	0.977328	
megahit_249821_2-1735	OTHER	0.121235	0.007210	0.013529	0.858026	
megahit_249821_1749-2702	OTHER	0.002753	0.003521	0.000792	0.992934	
megahit_249821_3835-4515	LIPO(Sec/SPII)	0.006634	0.000106	0.993128	0.000132	CS pos: 15-16. LGG-CA. Pr: 0.9940
megahit_249821_4527-5315	OTHER	0.064161	0.003383	0.005298	0.927157	
megahit_249822_1508-2461	OTHER	0.002753	0.003521	0.000792	0.992934	
megahit_249822_3594-4283	LIPO(Sec/SPII)	0.001513	0.000086	0.998261	0.000140	CS pos: 18-19. LGG-CA. Pr: 0.9989
megahit_249834_3-3602	SP(Sec/SPI)	0.839777	0.000298	0.097375	0.062551	CS pos: 19-20. TYS-QN. Pr: 0.6898
megahit_249839_3649-4125	OTHER	0.058370	0.003673	0.011093	0.926864	
megahit_249841_3-3602	SP(Sec/SPI)	0.839777	0.000298	0.097375	0.062551	CS pos: 19-20. TYS-QN. Pr: 0.6898
megahit_249841_3772-4248	OTHER	0.058370	0.003673	0.011093	0.926864	
megahit_249843_3-2705	OTHER	0.002331	0.001612	0.000378	0.995680	
megahit_249847_3-3650	OTHER	0.405322	0.000747	0.048494	0.545438	
megahit_249863_2-1597	OTHER	0.006533	0.000860	0.002169	0.990438	
megahit_249863_1743-1940	OTHER	0.060725	0.037546	0.006725	0.895004	
megahit_249864_2-496	OTHER	0.006533	0.000860	0.002169	0.990438	
megahit_249865_2-1183	OTHER	0.006679	0.001029	0.000999	0.991293	
megahit_249867_2-1183	OTHER	0.006679	0.001029	0.000999	0.991293	
megahit_249870_3-455	OTHER	0.089171	0.027183	0.004858	0.878788	
megahit_249870_602-1720	OTHER	0.006387	0.010131	0.000735	0.982746	
megahit_249871_2-1498	OTHER	0.089171	0.027183	0.004858	0.878788	
megahit_249871_1645-2763	OTHER	0.006387	0.010131	0.000735	0.982746	
megahit_249872_72-1190	OTHER	0.006387	0.010131	0.000735	0.982746	
megahit_249941_1-243	OTHER	0.012737	0.004216	0.001881	0.981166	
megahit_250028_3-410	OTHER	0.006965	0.003344	0.003707	0.985984	
megahit_250028_435-809	OTHER	0.006089	0.000887	0.002631	0.990393	
megahit_250028_940-1455	OTHER	0.045281	0.086749	0.005512	0.862457	
megahit_250029_435-809	OTHER	0.006089	0.000887	0.002631	0.990393	
megahit_250037_87-1580	LIPO(Sec/SPII)	0.022915	0.000178	0.973923	0.002984	CS pos: 19-20. GFS-CG. Pr: 0.9727
megahit_250039_174-896	OTHER	0.263173	0.000919	0.029790	0.706118	
megahit_250040_87-1580	LIPO(Sec/SPII)	0.022915	0.000178	0.973923	0.002984	CS pos: 19-20. GFS-CG. Pr: 0.9727
megahit_250040_1641-2249	LIPO(Sec/SPII)	0.001422	0.000093	0.998212	0.000274	CS pos: 19-20. LSA-CE. Pr: 0.9991
megahit_250041_87-1580	LIPO(Sec/SPII)	0.022915	0.000178	0.973923	0.002984	CS pos: 19-20. GFS-CG. Pr: 0.9727
megahit_250041_2450-3190	OTHER	0.007588	0.003383	0.000820	0.988210	
megahit_250042_87-1580	LIPO(Sec/SPII)	0.022915	0.000178	0.973923	0.002984	CS pos: 19-20. GFS-CG. Pr: 0.9727
megahit_250043_3-839	OTHER	0.077551	0.068432	0.005660	0.848357	
megahit_250058_1-324	OTHER	0.014820	0.001210	0.002561	0.981408	
megahit_250114_7-324	OTHER	0.016717	0.027617	0.006056	0.949610	
megahit_250123_2-157	OTHER	0.009268	0.005040	0.004426	0.981267	
megahit_250123_157-363	OTHER	0.003261	0.005692	0.000664	0.990383	
megahit_250130_23-286	OTHER	0.016717	0.027617	0.006056	0.949610	
megahit_250132_2-157	OTHER	0.009268	0.005040	0.004426	0.981267	
megahit_250137_229-471	OTHER	0.003748	0.002123	0.001424	0.992705	
megahit_250171_2720-4324	LIPO(Sec/SPII)	0.001779	0.000167	0.997513	0.000540	CS pos: 18-19. TVS-CG. Pr: 0.9985
megahit_250172_1-1545	OTHER	0.005807	0.002728	0.001374	0.990090	
megahit_250175_1656-3155	OTHER	0.003817	0.000749	0.001424	0.994010	
megahit_250261_2-727	OTHER	0.011956	0.002334	0.000449	0.985261	
megahit_250262_152-1063	OTHER	0.043879	0.033495	0.006610	0.916017	
megahit_250262_1145-1825	OTHER	0.019534	0.001464	0.003116	0.975885	
megahit_250288_142-993	OTHER	0.021958	0.003370	0.002966	0.971706	
megahit_250288_1092-2549	OTHER	0.006045	0.001543	0.004757	0.987655	
megahit_250288_2561-3820	OTHER	0.006865	0.155579	0.003390	0.834166	
megahit_250288_3817-4659	OTHER	0.002132	0.001195	0.000449	0.996224	
megahit_250288_4656-5822	OTHER	0.019418	0.012779	0.003962	0.963842	
megahit_250288_5901-7715	OTHER	0.012822	0.018185	0.001774	0.967220	
megahit_250288_8524-9087	SP(Sec/SPI)	0.479492	0.002309	0.048949	0.469249	CS pos: 21-22. GAA-YF. Pr: 0.3871
megahit_250288_9121-9906	OTHER	0.008390	0.004153	0.004691	0.982767	
megahit_250288_9934-11118	OTHER	0.003627	0.006117	0.000450	0.989805	
megahit_250290_142-993	OTHER	0.021958	0.003370	0.002966	0.971706	
megahit_250290_1092-2549	OTHER	0.006045	0.001543	0.004757	0.987655	
megahit_250290_2561-3595	OTHER	0.006865	0.155579	0.003390	0.834166	
megahit_250292_2-766	OTHER	0.010849	0.010850	0.001509	0.976793	
megahit_250293_155-1753	OTHER	0.012822	0.018185	0.001774	0.967220	
megahit_250293_2562-3125	SP(Sec/SPI)	0.479492	0.002309	0.048949	0.469249	CS pos: 21-22. GAA-YF. Pr: 0.3871
megahit_250293_3159-3944	OTHER	0.008390	0.004153	0.004691	0.982767	
megahit_250293_3972-5156	OTHER	0.003627	0.006117	0.000450	0.989805	
megahit_250350_428-1165	OTHER	0.019137	0.059805	0.000858	0.920200	
megahit_250374_1-291	OTHER	0.002937	0.003212	0.000770	0.993081	
megahit_250376_1-291	OTHER	0.002937	0.003212	0.000770	0.993081	
megahit_250376_293-1567	OTHER	0.019617	0.008128	0.002166	0.970089	
megahit_250376_1564-2019	OTHER	0.004725	0.001053	0.000371	0.993851	
megahit_250381_15-1331	OTHER	0.001804	0.001589	0.000232	0.996375	
megahit_250421_973-2331	OTHER	0.029304	0.034298	0.017778	0.918620	
megahit_250422_1036-2535	OTHER	0.061277	0.012622	0.012018	0.914083	
megahit_250422_2532-3296	OTHER	0.017791	0.002612	0.001224	0.978373	
megahit_250445_1-975	OTHER	0.000966	0.000190	0.002884	0.995960	
megahit_250445_1064-2605	OTHER	0.010229	0.004579	0.015636	0.969557	
megahit_250445_2617-3249	OTHER	0.006179	0.000159	0.000318	0.993343	
megahit_250446_1-930	OTHER	0.093354	0.021225	0.010322	0.875099	
megahit_250446_927-1115	OTHER	0.016040	0.001405	0.002035	0.980520	
megahit_250446_1127-1759	OTHER	0.006179	0.000159	0.000318	0.993343	
megahit_250447_1-975	OTHER	0.000966	0.000190	0.002884	0.995960	
megahit_250447_1064-1504	OTHER	0.010229	0.004579	0.015636	0.969557	
megahit_250458_2-1996	OTHER	0.012695	0.023809	0.002168	0.961328	
megahit_250678_2-508	OTHER	0.009483	0.007635	0.005150	0.977731	
megahit_250678_541-1263	OTHER	0.010826	0.068679	0.001549	0.918946	
megahit_250698_2-595	OTHER	0.016523	0.002661	0.002256	0.978560	
megahit_250756_3-419	OTHER	0.010410	0.011773	0.000945	0.976873	
megahit_250791_1265-1942	OTHER	0.002430	0.000288	0.000435	0.996846	
megahit_250792_1265-1942	OTHER	0.002430	0.000288	0.000435	0.996846	
megahit_250826_1-1005	OTHER	0.012338	0.000429	0.051584	0.935649	
